child_id,child_name_en,child_name_ar,parents,wives_or_husbands
30,Anas ibn Malik,أنس بن مالك,Umm Sulaym bint Milhan,
31,Jabir ibn Abdullah,جابر بن عبد الله,Abdullah ibn Amr ibn Haram,
32,Abu Sa'id al-Khudri,أبو سعيد الخدري,Malik ibn Sinan | Unaysa bint Amr,
33,Mu'adh ibn Jabal,معاذ بن جبل,Jabal ibn Amr | Hind,
34,Ubayy ibn Ka'b,أبي بن كعب,Ka'b ibn Qays | Sahla bint Kharijah,
35,Zayd ibn Thabit,زيد بن ثابت,Thabit ibn Dahdah | Layla bint Abd al-Muttalib,
36,Abu Dharr al-Ghifari,أبو ذر الغفاري,Junadah ibn Junada | Ramlah,
37,Salman al-Farsi,سلمان الفارسي,,
38,Ammar ibn Yasir,عمار بن ياسر,Yasir ibn Amir | Sumayya bint Khayyat,
39,Miqdad ibn Aswad,المقداد بن الأسود,Amr ibn Tha'labah | Duba'ah,
40,Hudhayfa ibn al-Yaman,حذيفة بن اليمان,al-Yaman ibn Jabir | al-Ruba',
41,Amr ibn al-Aas,عمرو بن العاص,Al-Aas ibn Wa'il | Salma bint Harmalah,
42,Muawiyah ibn Abi Sufyan,معاوية بن أبي سفيان,Hind bint Utba | Abu Sufyan ibn Harb,
43,Mus'ab ibn Umayr,مصعب بن عمير,Mazun ibn Habib | Sakhra bint al-Harith,
44,Abu Ayyub al-Ansari,أبو أيوب الأنصاري,Ubadah ibn Dulaym | Amra bint Mas'ud,
45,Sa'd ibn Mu'adh,سعد بن معاذ,Mu'adh ibn an-Nu'man | Kab'ah bint Abd Harith,
46,Sa'd ibn Ubadah,سعد بن عبادة,Khalid ibn Zayd | Umm Umarah,
47,Ubadah ibn al-Samit,عبادة بن الصامت,al-Samit ibn Qays | Umama bint Abdullah,
48,Abu al-Darda,أبو الدرداء,,
49,Abu Musa al-Ash'ari,أبو موسى الأشعري,Malik ibn al-Nadr | Umm Sulaym bint Milhan,
50,Suhayb ar-Rumi,صهيب الرومي,Umayr ibn Hashim | Khunasa bint Malik,
51,Abdullah ibn Rawahah,عبد الله بن رواحة,,
52,Al-Bara' ibn Malik,البراء بن مالك,,
53,Asma bint Abi Bakr,أسماء بنت أبي بكر,Abu Bakr as-Siddiq,Zubayr ibn al-Awwam
54,Sumayya bint Khayyat,سمية بنت خياط,Abu Umayya ibn al-Mughira | Atikah bint Amir,
55,Umm Salama,أم سلمة,Huyayy ibn Akhtab | Barrah bint Samawal,
56,Hafsa bint Umar,حفصة بنت عمر,Umar ibn al-Khattab,Muhammad (PBUH)
57,Umm Ayman,أم أيمن,Tha'labah ibn Amr,
58,Sawda bint Zam'a,سودة بنت زمعة,,
59,Zaynab bint Jahsh,زينب بنت جحش,,
60,Juwayriya bint al-Harith,جويرية بنت الحارث,Bashir ibn Sa'd | Amra bint Rawahah,
61,Safiyya bint Huyayy,صفية بنت حيي,,
62,Maymuna bint al-Harith,ميمونة بنت الحارث,,
63,Zaynab bint Khuzayma,زينب بنت خزيمة,,
64,Umm Habiba,أم حبيبة,Abu Sufyan ibn Harb,Muhammad (PBUH)
65,Safiyya bint Abd al-Muttalib,صفية بنت عبد المطلب,,
66,Umm Haram bint Milhan,أم حرام بنت ملحان,,
67,Umm Sulaym bint Milhan,أم سليم بنت ملحان,,
68,Nusaybah bint Ka'b,نسيبة بنت كعب,,
69,Al-Shifa bint Abdullah,الشفاء بنت عبد الله,,
70,Khawla bint Tha'laba,خولة بنت ثعلبة,,
71,Atika bint Zayd,عاتكة بنت زيد,,
72,Fatimah bint al-Khattab,فاطمة بنت الخطاب,,
73,Arwa bint Abd al-Muttalib,أروى بنت عبد المطلب,,
74,Umamah bint Hamza,أمامة بنت حمزة,Hamza ibn Abd al-Muttalib,
75,Umm Kulthum bint Abi Bakr,أم كلثوم بنت أبي بكر,Abu Bakr as-Siddiq | Umm Ruman bint Amir,
76,Umm Kulthum bint Uqba,أم كلثوم بنت عقبة,,
77,Umm Sharik,أم شريك,,
78,Umm Ma'bad,أم معبد,,
79,Umm Ubays,أم عبيس,,
80,Lubaba bint al-Harith,لبابة بنت الحارث,,
81,Layla bint al-Minhal,ليلى بنت المنهال,,
82,Maria al-Qibtiyya,مارية القبطية,,
83,Rayhana bint Zayd,ريحانة بنت زيد,,
84,Umm al-Fadl,أم الفضل,,
85,Asma bint Umays,أسماء بنت عميس,,
86,Khawla bint Hakim,خولة بنت حكيم,,
87,Hind bint Utba,هند بنت عتبة,,
88,Umm Hakim,أم حكيم,,
89,Ikrimah ibn Abi Jahl,عكرمة بن أبي جهل,,
90,Safwan ibn Umayya,صفوان بن أمية,Umayya ibn Khalaf | Safinah bint al-Harith,
91,Suhayl ibn Amr,سهيل بن عمرو,,
92,Hakim ibn Hizam,حكيم بن حزام,,
93,Abu Sufyan ibn Harb,أبو سفيان بن حرب,Harb ibn Umayya | Safiyyah bint Hajaj,
94,Abu Jandal ibn Suhayl,أبو جندل بن سهيل,,
95,Abdullah ibn Hudhafa,عبد الله بن حذافة,,
96,Abdullah ibn Jahsh,عبد الله بن جحش,,
97,Ukasha ibn al-Mihsan,عكاشة بن محصن,,
98,Salamah ibn al-Akwa,سلمة بن الأكوع,,
99,Qatada ibn al-Nu'man,قتادة بن النعمان,,
100,Bashir ibn Sa'd,بشير بن سعد,,
101,Zayd ibn al-Khattab,زيد بن الخطاب,,
102,Al-Qa'qa' ibn Amr,القعقاع بن عمرو,,
103,Dhiraar ibn al-Azwar,ضرار بن الأزور,,
104,Shurahbil ibn Hasana,شرحبيل بن حسنة,,
105,Yazid ibn Abi Sufyan,يزيد بن أبي سفيان,Abu Sufyan ibn Harb,
106,Utbah ibn Ghazwan,عتبة بن غزوان,,
107,Al-Mughira ibn Shu'ba,المغيرة بن شعبة,,
108,Abu Qatada al-Ansari,أبو قتادة الأنصاري,,
109,Abu Bakra al-Thaqafi,أبو بكرة الثقفي,,
110,Al-Ala' al-Hadrami,العلاء الحضرمي,,
111,Amr ibn al-Jamuh,عمرو بن الجموح,,
112,Abdullah ibn Amr ibn Haram,عبد الله بن عمرو بن حرام,,
113,Khabbab ibn al-Aratt,خباب بن الأرت,,
114,Amru bin Ma'adi Yakrib,عمرو بن معديكرب,,
115,Al-Hakam ibn Abi al-As,الحكم بن أبي العاص,,
116,Marwan ibn al-Hakam,مروان بن الحكم,,
117,Abdullah ibn al-Zubayr,عبد الله بن الزبير,Zubayr ibn al-Awwam | Asma bint Abi Bakr,
118,Muhammad ibn Abi Bakr,محمد بن أبي بكر,Abu Bakr as-Siddiq | Asma bint Umays,
119,Abdullah ibn Ja'far,عبد الله بن جعفر,Ja'far ibn Abi Talib | Asma bint Umays,
120,Al-Mundhir ibn Amr,المنذر بن عمرو,,
121,Asim ibn Thabit,عاصم بن ثابت,,
122,Khubayb ibn Adiy,خبيب بن عدي,,
123,Zayd ibn Arqam,زيد بن أرقم,,
124,Thabit ibn Qays,ثابت بن قيس,,
125,Muhammad ibn Maslamah,محمد بن مسلمة,,
126,Nuaym ibn Masud,نعيم بن مسعود,,
127,Abu Talha al-Ansari,أبو طلحة الأنصاري,,
128,Sahl ibn Hunaif,سهل بن حنيف,,
129,Sahl ibn Sa'd,سهل بن سعد,,
130,Abu Lubaba,أبو لبابة,,
131,Ka'b ibn Malik,كعب بن مالك,,
132,Murara ibn al-Rabi,مرارة بن الربيع,,
133,Hilal ibn Umayya,هلال بن أمية,,
134,Abu Rafi',أبو رافع,,
135,Fayruz ad-Daylami,فيروز الديلمي,,
136,Jaban al-Kurdi,جابان الكردي,,
137,Addas,عداس,,
138,Abdullah ibn Salam,عبد الله بن سلام,,
139,Thumamah ibn Uthal,ثمامة بن أثال,,
140,Adiyy ibn Hatim,عدي بن حاتم,,
141,Al-Aqra ibn Habis,الأقرع بن حابس,,
142,Uyayna ibn Hisn,عيينة بن حصن,,
143,Malik ibn Huwayrith,مالك بن الحويرث,,
144,Al-Arqam ibn Abi al-Arqam,الأرقم بن أبي الأرقم,,
145,Abu Fukayha,أبو فكيهة,,
146,Amir ibn Fuhayra,عامر بن فهيرة,,
147,Abu Hudhayfa ibn Utba,أبو حذيفة بن عتبة,,
148,Salim Mawla Abi Hudhayfa,سالم مولى أبي حذيفة,,
149,Abu Salama,أبو سلمة,,
150,Abdullah ibn Unais,عبد الله بن أنيس,,
151,Maslama ibn Mukhallad,مسلمة بن مخلد,,
152,Nafi ibn al-Harith,نافع بن الحارث,,
153,Rabiah ibn Kab,ربيعة بن كعب,,
154,Tamim al-Dari,تميم الداري,,
155,Wahshi ibn Harb,وحشي بن حرب,,
156,Utban ibn Malik,عتبان بن مالك,,
157,Uthman ibn Hunayf,عثمان بن حنيف,,
158,Uthman ibn Madh'un,عثمان بن مظعون,,
159,Uthman ibn Talha,عثمان بن طلحة,,
160,Walid ibn Uqba,الوليد بن عقبة,,
161,Khalid ibn Sa'id,خالد بن سعيد,,
162,Abbad ibn Bishr,عباد بن بشر,,
163,Abdullah ibn Amir,عبد الله بن عامر,,
164,Abdullah ibn Hanzala,عبد الله بن حنظلة,,
165,Abdullah ibn Umm Maktum,عبد الله بن أم مكتوم,,
166,Abdullah ibn Atik,عبد الله بن عتيك,,
167,Al-Barā' ibn ʻĀzib,البراء بن عازب,,
168,Anas ibn Nadhar,أنس بن النضر,,
169,Aqil ibn Abi Talib,عقيل بن أبي طالب,,
170,Arbad ibn Humayrah,أربد بن حميرة,,
171,Āqil ibn al-Bukayr,عاقل بن البكير,,
172,Dihyah ibn Khalifa al-Kalbi,دحية الكلبي,,
173,Fadl ibn Abbas,الفضل بن عباس,Abbas ibn Abd al-Muttalib | Umm al-Fadl,
174,Hanzala Ibn Abi Amir,حنظلة بن أبي عامر,,
175,Imran ibn Husain,عمران بن حصين,,
176,Iyad ibn Ghanm,عياض بن غنم,,
177,Jubayr ibn Mut'im,جبير بن مطعم,,
178,Julaybib,جليبيب,,
179,Ka'b ibn Zuhayr,كعب بن زهير,,
180,Kharija bin Huzafa,خارجة بن حذافة,,
181,Labid ibn Rabi'a,لبيد بن ربيعة,,
182,Malik ibn an-Nadr,مالك بن النضر,,
183,Mu`adh ibn `Amr,معاذ بن عمرو,,
184,Mu`awwaz ibn `Amr,معوذ بن عمرو,,
185,Munabbih ibn Kamil,منبه بن كامل,,
186,Nu'man ibn Bashir,النعمان بن بشير,,
187,An-Nawwas ibn Sam'an,النواس بن سمعان,,
188,Qudamah ibn Maz'un,قدامة بن مظعون,,
189,Rab'ah ibn Umayah,ربة بن أمية,,
190,Rabi'ah ibn al-Harith,ربيعة بن الحارث,,
191,Rebi’i bin Aamer,ربعي بن عامر,,
192,Sabra ibn Ma`bad,سبرة بن معبد,,
193,Sa`îd ibn Âmir al-Jumahi,سعيد بن عامر الجمحي,,
194,Safwan ibn al-Mu‘attal,صفوان بن المعطل,,
195,Salama Abu Hashim,سلامة أبو هاشم,,
196,Samra ibn Jundab,سمرة بن جندب,,
197,Sariyya ibn Zanim,سارية بن زنيم,,
198,Shams ibn Uthman,شمس بن عثمان,,
199,Shadad ibn Aus,شداد بن أوس,,
1008,Sawda bint Zamʿa,,,
1009,Ramla bint Abi Sufyan,,,
1010,Juwayriyyah bint al-Harith,,,
1011,Umm Salama (Hind bint Abi Umayya),,,
1012,Maymunah bint al-Harith,,,
1013,Qasim ibn Muhammad,,,
1014,Abdullah ibn Muhammad,,,
1015,Ibrahim ibn Muhammad,,,
1016,Qutaylah bint Abd-al-Uzza,,,
1017,Umm Ruman (Salma bint Sufyan),,,
1018,Habiba bint Kharija,,,
1019,Abd Allah ibn Abi Bakr,,,
1020,Abd al-Rahman ibn Abi Bakr,,,
1021,Ummamah bint Abi al-As,,,
1022,Ruqayyah bint Muhammad,,,
1023,Abu Talib ibn Abd al-Muttalib,أبو طالب بن عبد المطلب,,
1024,Umm Ruman bint Amir,,,
